City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Nanortalik,GL,60.1432,-45.2371,29.17,78,100,7.78,overcast clouds
138,Avera,US,33.194,-82.5271,66.25,53,100,8.25,overcast clouds
139,Huicungo,PE,-7.2833,-76.8,84.22,68,35,2.35,scattered clouds
140,Shitanjing,CN,39.2342,106.3439,36.86,19,100,13.53,overcast clouds
141,Kavieng,PG,-2.5744,150.7967,83.08,69,70,10.49,broken clouds
142,Chuy,UY,-33.6971,-53.4616,71.4,67,66,12.88,broken clouds
143,Pizarro,CO,4.9533,-77.366,80.19,84,95,6.24,light rain
144,Minsk,BY,53.9,27.5667,37.15,79,0,9.1,clear sky
145,Bara,NG,10.3744,10.7288,86.5,15,75,11.23,broken clouds
146,Uige,AO,-7.6087,15.0613,66.87,97,94,4.85,overcast clouds
147,Volnovakha,UA,47.601,37.4967,35.04,64,0,5.73,clear sky
148,Monrovia,LR,6.3005,-10.7969,79.88,88,17,8.16,few clouds
149,Prince Rupert,CA,54.3161,-130.3201,50.09,46,20,18.41,few clouds
150,Sibolga,ID,1.7427,98.7792,74.57,76,43,3.85,scattered clouds
151,Dikson,RU,73.5069,80.5464,10.08,90,95,16.26,overcast clouds
152,Pajarito,CO,5.2929,-72.7028,78.71,62,99,2.08,overcast clouds
153,Susanville,US,40.4163,-120.653,69.8,34,88,5.99,overcast clouds
154,Norman Wells,CA,65.282,-126.8329,3.24,60,40,5.75,scattered clouds
155,Coquimbo,CL,-29.9533,-71.3436,64.13,72,0,13.8,clear sky
156,Yar-Sale,RU,66.8333,70.8333,-1.82,99,100,4.72,overcast clouds
157,Atuona,PF,-9.8,-139.0333,79.25,77,88,18.37,overcast clouds
158,Carnarvon,AU,-24.8667,113.6333,80.67,57,95,6.91,overcast clouds
159,Sao Cristovao,BR,-11.0147,-37.2064,77.95,74,53,5.48,broken clouds
160,Broken Hill,AU,-31.95,141.4333,57.52,51,0,12.88,clear sky
161,Nargana,PA,9.4428,-78.5906,80.83,76,89,10.31,overcast clouds
162,Nerchinskiy Zavod,RU,51.3088,119.61,17.35,87,100,4.92,overcast clouds
163,Rypin,PL,53.066,19.4094,43.56,59,5,3.89,clear sky
164,Airai,TL,-8.9266,125.4092,59.2,94,67,1.34,broken clouds
165,Hellvik,NO,59.9156,5.781,46.78,84,37,4.0,scattered clouds
166,Tobol,KZ,52.6844,62.5794,32.5,83,79,10.58,broken clouds
167,Eyl,SO,7.9803,49.8164,79.66,73,89,10.58,overcast clouds
168,Santa Fe,AR,-31.6333,-60.7,70.0,38,49,8.01,light rain
169,Beringovskiy,RU,63.05,179.3167,18.19,93,100,4.47,light snow
170,Santa Lucia,ES,27.9117,-15.5407,56.52,55,20,14.97,few clouds
171,Guerrero Negro,MX,27.9769,-114.0611,83.64,14,2,11.14,clear sky
172,Liliongan,PH,7.3628,124.7928,72.59,89,93,4.74,overcast clouds
173,Fort Nelson,CA,58.8053,-122.7002,20.79,49,40,2.3,scattered clouds
174,Darhan,MN,49.4867,105.9228,22.19,79,100,5.1,overcast clouds
175,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.34,78,48,14.07,scattered clouds
176,Coolum Beach,AU,-26.5333,153.1,72.07,86,8,3.74,clear sky
177,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,40,9.62,scattered clouds
178,Alice Springs,AU,-23.7,133.8833,69.22,32,40,9.22,scattered clouds
179,Spas-Demensk,RU,54.4122,34.0226,34.16,91,100,3.69,overcast clouds
180,Tifton,US,31.4505,-83.5085,66.16,42,75,12.66,broken clouds
181,Butaritari,KI,3.0707,172.7902,80.33,73,95,15.21,overcast clouds
182,Ust-Maya,RU,60.4167,134.5333,-10.41,100,91,1.16,overcast clouds
183,Totness,SR,5.8833,-56.3167,77.18,86,100,13.29,light rain
184,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,40,5.75,scattered clouds
185,Solnechnyy,RU,50.7214,136.6319,15.96,97,84,3.0,broken clouds
186,Swan River,CA,52.1058,-101.2676,39.09,70,100,6.91,overcast clouds
187,Margate,GB,51.3813,1.3862,51.31,74,0,6.49,clear sky
188,Jumla,NP,29.2747,82.1838,42.85,52,14,4.52,few clouds
189,Strezhevoy,RU,60.7333,77.5889,-1.68,100,70,4.83,broken clouds
190,Gigmoto,PH,13.7796,124.39,79.05,86,39,8.32,scattered clouds
191,Burnie,AU,-41.0667,145.9167,56.95,93,8,7.7,clear sky
192,Half Moon Bay,US,37.4636,-122.4286,79.59,71,40,19.57,scattered clouds
